activity,model,condition,frames,prompt,view,n,n_valid,n_correct,acc,invalid_rate
climbing,qwen,entire,8.0,binary,ego,50,48,25,52.083333333333336,4.0
climbing,qwen,entire,8.0,binary,exo,50,48,25,52.083333333333336,4.0
climbing,qwen,entire,8.0,fourclass,ego,100,91,24,26.373626373626372,9.0
climbing,qwen,entire,8.0,fourclass,exo,100,91,25,27.47252747252747,9.0
climbing,qwen,entire,8.0,reasoning,ego,100,91,24,26.373626373626372,9.0
climbing,qwen,entire,8.0,reasoning,exo,100,91,18,19.78021978021978,9.0
climbing,qwen,entire,8.0,structured,ego,100,27,5,18.51851851851852,73.0
climbing,qwen,entire,8.0,structured,exo,100,69,14,20.28985507246377,31.0
climbing,qwen,entire,16.0,binary,ego,50,48,25,52.083333333333336,4.0
climbing,qwen,entire,16.0,binary,exo,50,48,25,52.083333333333336,4.0
climbing,qwen,entire,16.0,fourclass,ego,100,100,25,25.0,0.0
climbing,qwen,entire,16.0,fourclass,exo,100,100,27,27.0,0.0
climbing,qwen,entire,16.0,reasoning,ego,100,91,24,26.373626373626372,9.0
climbing,qwen,entire,16.0,reasoning,exo,100,91,18,19.78021978021978,9.0
climbing,qwen,entire,16.0,structured,ego,100,99,24,24.242424242424242,1.0
climbing,qwen,entire,16.0,structured,exo,100,100,24,24.0,0.0
climbing,qwen,entire,64.0,binary,ego,50,50,25,50.0,0.0
climbing,qwen,entire,64.0,binary,exo,50,50,25,50.0,0.0
climbing,qwen,entire,64.0,fourclass,ego,100,100,26,26.0,0.0
climbing,qwen,entire,64.0,fourclass,exo,100,100,25,25.0,0.0
climbing,qwen,entire,64.0,reasoning,ego,100,100,29,29.0,0.0
climbing,qwen,entire,64.0,reasoning,exo,100,100,32,32.0,0.0
climbing,qwen,entire,64.0,structured,ego,100,100,20,20.0,0.0
climbing,qwen,entire,64.0,structured,exo,100,100,21,21.0,0.0
climbing,qwen,trimmed,8.0,binary,ego,50,50,25,50.0,0.0
climbing,qwen,trimmed,8.0,binary,exo,50,50,25,50.0,0.0
climbing,qwen,trimmed,8.0,reasoning,ego,100,90,23,25.555555555555557,10.0
climbing,qwen,trimmed,8.0,reasoning,exo,100,90,16,17.77777777777778,10.0
climbing,qwen,trimmed,8.0,structured,ego,100,98,19,19.387755102040817,2.0
climbing,qwen,trimmed,8.0,structured,exo,100,98,22,22.448979591836736,2.0
climbing,qwen,trimmed,16.0,binary,ego,50,50,25,50.0,0.0
climbing,qwen,trimmed,16.0,binary,exo,50,50,25,50.0,0.0
climbing,qwen,trimmed,16.0,reasoning,ego,100,90,23,25.555555555555557,10.0
climbing,qwen,trimmed,16.0,reasoning,exo,100,90,23,25.555555555555557,10.0
climbing,qwen,trimmed,16.0,structured,ego,100,98,26,26.53061224489796,2.0
climbing,qwen,trimmed,16.0,structured,exo,100,96,18,18.75,4.0
climbing,qwen,trimmed,,fourclass,ego,100,98,26,26.53061224489796,2.0
climbing,qwen,trimmed,,fourclass,exo,100,98,24,24.489795918367346,2.0
climbing,videollava,entire,8.0,binary,ego,50,48,25,52.083333333333336,4.0
climbing,videollava,entire,8.0,binary,exo,50,48,25,52.083333333333336,4.0
climbing,videollava,entire,8.0,fourclass,ego,100,91,24,26.373626373626372,9.0
climbing,videollava,entire,8.0,fourclass,exo,100,91,24,26.373626373626372,9.0
climbing,videollava,entire,8.0,reasoning,ego,100,68,16,23.529411764705884,32.0
climbing,videollava,entire,8.0,reasoning,exo,100,91,21,23.076923076923077,9.0
climbing,videollava,entire,8.0,structured,ego,100,91,23,25.274725274725274,9.0
climbing,videollava,entire,8.0,structured,exo,100,91,26,28.571428571428573,9.0
climbing,videollava,entire,16.0,binary,ego,50,48,16,33.333333333333336,4.0
climbing,videollava,entire,16.0,binary,exo,50,48,38,79.16666666666667,4.0
climbing,videollava,entire,16.0,structured,ego,100,0,0,,100.0
climbing,videollava,entire,16.0,structured,exo,100,0,0,,100.0
climbing,videollava,trimmed,8.0,binary,ego,50,50,25,50.0,0.0
climbing,videollava,trimmed,8.0,binary,exo,50,50,30,60.0,0.0
climbing,videollava,trimmed,8.0,fourclass,ego,100,98,24,24.489795918367346,2.0
climbing,videollava,trimmed,8.0,fourclass,exo,100,98,25,25.510204081632654,2.0
climbing,videollava,trimmed,8.0,reasoning,ego,100,89,21,23.59550561797753,11.0
climbing,videollava,trimmed,8.0,reasoning,exo,100,90,22,24.444444444444443,10.0
climbing,videollava,trimmed,8.0,structured,ego,100,98,30,30.612244897959183,2.0
climbing,videollava,trimmed,8.0,structured,exo,100,98,15,15.306122448979592,2.0
climbing,videollava,trimmed,16.0,binary,ego,50,50,25,50.0,0.0
climbing,videollava,trimmed,16.0,binary,exo,50,50,25,50.0,0.0
climbing,videollava,trimmed,16.0,fourclass,ego,100,5,2,40.0,95.0
climbing,videollava,trimmed,16.0,fourclass,exo,100,17,2,11.764705882352942,83.0
climbing,videollava,trimmed,16.0,reasoning,ego,100,0,0,,100.0
climbing,videollava,trimmed,16.0,reasoning,exo,100,0,0,,100.0
dance,qwen,entire,8.0,binary,ego,50,50,25,50.0,0.0
dance,qwen,entire,8.0,binary,exo,50,50,25,50.0,0.0
dance,qwen,entire,8.0,fourclass,ego,100,100,25,25.0,0.0
dance,qwen,entire,8.0,fourclass,exo,100,100,31,31.0,0.0
dance,qwen,entire,8.0,reasoning,ego,100,100,25,25.0,0.0
dance,qwen,entire,8.0,reasoning,exo,100,100,32,32.0,0.0
dance,qwen,entire,8.0,structured,ego,100,98,25,25.510204081632654,2.0
dance,qwen,entire,8.0,structured,exo,100,98,32,32.6530612244898,2.0
dance,qwen,entire,16.0,binary,ego,50,50,25,50.0,0.0
dance,qwen,entire,16.0,binary,exo,50,50,25,50.0,0.0
dance,qwen,entire,16.0,fourclass,ego,100,100,25,25.0,0.0
dance,qwen,entire,16.0,fourclass,exo,100,100,33,33.0,0.0
dance,qwen,entire,16.0,reasoning,ego,100,100,25,25.0,0.0
dance,qwen,entire,16.0,reasoning,exo,100,100,26,26.0,0.0
dance,qwen,entire,16.0,structured,ego,100,98,23,23.46938775510204,2.0
dance,qwen,entire,16.0,structured,exo,100,100,41,41.0,0.0
dance,qwen,entire,64.0,binary,ego,50,50,25,50.0,0.0
dance,qwen,entire,64.0,binary,exo,50,50,25,50.0,0.0
dance,qwen,entire,64.0,fourclass,ego,100,100,25,25.0,0.0
dance,qwen,entire,64.0,fourclass,exo,100,100,31,31.0,0.0
dance,qwen,entire,64.0,reasoning,ego,100,100,25,25.0,0.0
dance,qwen,entire,64.0,reasoning,exo,100,100,20,20.0,0.0
dance,qwen,entire,64.0,structured,ego,100,83,22,26.50602409638554,17.0
dance,qwen,entire,64.0,structured,exo,100,100,27,27.0,0.0
dance,qwen,trimmed,8.0,binary,ego,50,50,25,50.0,0.0
dance,qwen,trimmed,8.0,binary,exo,50,50,25,50.0,0.0
dance,qwen,trimmed,8.0,fourclass,ego,100,100,25,25.0,0.0
dance,qwen,trimmed,8.0,fourclass,exo,100,100,32,32.0,0.0
dance,qwen,trimmed,8.0,reasoning,ego,100,100,25,25.0,0.0
dance,qwen,trimmed,8.0,reasoning,exo,100,100,27,27.0,0.0
dance,qwen,trimmed,8.0,structured,ego,100,99,24,24.242424242424242,1.0
dance,qwen,trimmed,8.0,structured,exo,100,99,35,35.35353535353536,1.0
dance,qwen,trimmed,16.0,binary,ego,50,50,25,50.0,0.0
dance,qwen,trimmed,16.0,binary,exo,50,50,25,50.0,0.0
dance,qwen,trimmed,16.0,fourclass,ego,100,100,25,25.0,0.0
dance,qwen,trimmed,16.0,fourclass,exo,100,100,34,34.0,0.0
dance,qwen,trimmed,16.0,reasoning,ego,100,100,25,25.0,0.0
dance,qwen,trimmed,16.0,reasoning,exo,100,100,24,24.0,0.0
dance,qwen,trimmed,16.0,structured,ego,100,96,28,29.166666666666668,4.0
dance,qwen,trimmed,16.0,structured,exo,100,100,39,39.0,0.0
dance,videollava,entire,8.0,binary,ego,50,50,25,50.0,0.0
dance,videollava,entire,8.0,binary,exo,50,50,25,50.0,0.0
dance,videollava,entire,8.0,fourclass,ego,100,100,25,25.0,0.0
dance,videollava,entire,8.0,fourclass,exo,100,100,25,25.0,0.0
dance,videollava,entire,8.0,reasoning,ego,100,99,25,25.252525252525253,1.0
dance,videollava,entire,8.0,reasoning,exo,100,96,25,26.041666666666668,4.0
dance,videollava,entire,8.0,structured,ego,100,100,23,23.0,0.0
dance,videollava,entire,8.0,structured,exo,100,100,19,19.0,0.0
dance,videollava,entire,16.0,binary,ego,50,50,25,50.0,0.0
dance,videollava,entire,16.0,binary,exo,50,50,25,50.0,0.0
dance,videollava,trimmed,8.0,binary,ego,50,50,25,50.0,0.0
dance,videollava,trimmed,8.0,binary,exo,50,50,25,50.0,0.0
dance,videollava,trimmed,8.0,fourclass,ego,100,100,25,25.0,0.0
dance,videollava,trimmed,8.0,fourclass,exo,100,100,25,25.0,0.0
dance,videollava,trimmed,8.0,reasoning,ego,100,100,31,31.0,0.0
dance,videollava,trimmed,8.0,reasoning,exo,100,91,22,24.175824175824175,9.0
dance,videollava,trimmed,8.0,structured,ego,100,100,24,24.0,0.0
dance,videollava,trimmed,8.0,structured,exo,100,100,26,26.0,0.0
dance,videollava,trimmed,16.0,binary,ego,50,50,25,50.0,0.0
dance,videollava,trimmed,16.0,binary,exo,50,50,25,50.0,0.0
