model,activity,trim_condition,frame_count,prompt_type,view,file,test_type,n,observed_accuracy,test_statistic,p_value,significant_at_0.05
gemini,climbing,entire,,binary,ego,dissertation_v2/results/gemini/gemini_climbing_entire_binary_ego.csv,binomial,50,0.76,0.76,0.00030586400160359517,yes
gemini,climbing,entire,,binary,single,dissertation_v2/results/gemini/gemini_climbing_entire_binary.csv,binomial,51,0.5882,0.5882,0.2624375357110438,no
gemini,climbing,entire,,fourclass,ego,dissertation_v2/results/gemini/gemini_climbing_entire_fourclass_ego.csv,chi-squared,100,0.32,127.52,1.8513117616904825e-27,yes
gemini,climbing,entire,,fourclass,single,dissertation_v2/results/gemini/gemini_climbing_entire_fourclass.csv,chi-squared,100,0.26,174.16,1.608878720671149e-37,yes
gemini,climbing,entire,,reasoning,ego,dissertation_v2/results/gemini/gemini_climbing_entire_reasoning_ego.csv,chi-squared,99,0.29,86.0909,1.513473569992105e-18,yes
gemini,climbing,entire,,reasoning,single,dissertation_v2/results/gemini/gemini_climbing_entire_reasoning.csv,chi-squared,100,0.27,240.08,9.145474299954048e-52,yes
gemini,climbing,entire,,structured,ego,dissertation_v2/results/gemini/gemini_climbing_entire_structured_ego.csv,chi-squared,100,0.31,146.32,1.6388751915237811e-31,yes
gemini,climbing,entire,,structured,single,dissertation_v2/results/gemini/gemini_climbing_entire_structured.csv,chi-squared,100,0.33,172.0,4.708495389567491e-37,yes
gemini,dance,entire,,binary,ego,diss_dance/results/gemini/gemini_dance_entire_binary_ego.csv,binomial,50,0.52,0.52,0.887724827340783,no
gemini,dance,entire,,binary,single,diss_dance/results/gemini/gemini_dance_entire_binary.csv,binomial,50,0.6,0.6,0.20263875106454066,no
gemini,dance,entire,,fourclass,ego,diss_dance/results/gemini/gemini_dance_entire_fourclass_ego.csv,chi-squared,100,0.21,115.28,8.013137088784882e-25,yes
gemini,dance,entire,,fourclass,single,diss_dance/results/gemini/gemini_dance_entire_fourclass.csv,chi-squared,100,0.24,189.2,9.086991835419831e-41,yes
gemini,dance,entire,,reasoning,ego,diss_dance/results/gemini/gemini_dance_entire_reasoning_ego.csv,chi-squared,98,0.25,77.5918,1.0080627882276334e-16,yes
gemini,dance,entire,,reasoning,single,diss_dance/results/gemini/gemini_dance_entire_reasoning.csv,chi-squared,100,0.32,172.08,4.524912563341204e-37,yes
gemini,dance,entire,,structured,ego,diss_dance/results/gemini/gemini_dance_entire_structured_ego.csv,chi-squared,100,0.27,108.0,2.9560838274280704e-23,yes
gemini,dance,entire,,structured,single,diss_dance/results/gemini/gemini_dance_entire_structured.csv,chi-squared,100,0.24,215.52,1.866859957608263e-46,yes
qwen,climbing,entire,,binary,ego,dissertation_v2/results/qwen/binary_basketball.csv,binomial,50,0.24,0.24,0.00030586400160359517,yes
qwen,climbing,entire,,binary,exo,dissertation_v2/results/qwen/binary_basketball.csv,binomial,50,0.24,0.24,0.00030586400160359517,yes
qwen,climbing,entire,16,binary,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,16,binary,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,32,binary,ego,dissertation_v2/results/qwen/binary_n32.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,32,binary,exo,dissertation_v2/results/qwen/binary_n32.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,8,binary,ego,dissertation_v2/results/qwen/binary_n8_qwen_ego.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,8,binary,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,8,binary,exo,dissertation_v2/results/qwen/binary_n8_qwen_exo.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,8,binary,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,trimmed,16,binary,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_ego_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,trimmed,16,binary,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_exo_n16_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,trimmed,8,binary,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_ego_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,trimmed,8,binary,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_exo_n8_binary.csv,binomial,50,0.5,0.5,1.0,no
qwen,climbing,entire,16,fourclass,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_fourclass.csv,chi-squared,100,0.25,284.32,2.4607059882777558e-61,yes
qwen,climbing,entire,16,fourclass,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_fourclass.csv,chi-squared,100,0.27,221.68,8.70059517518392e-48,yes
qwen,climbing,entire,8,fourclass,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_fourclass.csv,chi-squared,91,0.24,221.3077,1.0472076368893103e-47,yes
qwen,climbing,entire,8,fourclass,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_fourclass.csv,chi-squared,91,0.25,214.6264,2.912502267426885e-46,yes
qwen,climbing,trimmed,,fourclass,ego,dissertation_v2/results/qwen/trimmed/fourclass_trimmed.csv,chi-squared,98,0.26,256.0408,3.2301611709636386e-55,yes
qwen,climbing,trimmed,,fourclass,exo,dissertation_v2/results/qwen/trimmed/fourclass_trimmed.csv,chi-squared,98,0.24,222.1633,6.840343289037911e-48,yes
qwen,climbing,entire,16,reasoning,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_reasoning.csv,chi-squared,91,0.24,265.0879,3.5657873243784336e-57,yes
qwen,climbing,entire,16,reasoning,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_reasoning.csv,chi-squared,91,0.18,49.8791,8.477055160286355e-11,yes
qwen,climbing,entire,8,reasoning,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_reasoning.csv,chi-squared,91,0.24,265.0879,3.5657873243784336e-57,yes
qwen,climbing,entire,8,reasoning,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_reasoning.csv,chi-squared,91,0.17,127.6813,1.7089130897562816e-27,yes
qwen,climbing,trimmed,16,reasoning,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_reasoning.csv,chi-squared,90,0.23,262.0889,1.5883014391293207e-56,yes
qwen,climbing,trimmed,16,reasoning,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_reasoning.csv,chi-squared,90,0.21,30.6222,1.0208745725825483e-06,yes
qwen,climbing,trimmed,8,reasoning,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_reasoning.csv,chi-squared,90,0.23,262.0889,1.5883014391293207e-56,yes
qwen,climbing,trimmed,8,reasoning,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_reasoning.csv,chi-squared,90,0.15,80.5778,2.3072699418729807e-17,yes
qwen,climbing,entire,,structured,ego,dissertation_v2/results/qwen/structured_eval.csv,chi-squared,91,0.19,148.1648,6.555857649945653e-32,yes
qwen,climbing,entire,,structured,exo,dissertation_v2/results/qwen/structured_eval.csv,chi-squared,91,0.24,242.4066,2.8712431197094614e-52,yes
qwen,climbing,entire,16,structured,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_structured.csv,chi-squared,99,0.24,103.5455,2.68553563030427e-22,yes
